工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药二厂,银黄口服液,10ml×10支/盒,2026-01,10000,6.6,2.2,1.1,9.9,99000.0
中药二厂,银黄口服液,10ml×10支/盒,2026-02,10100,6.66,2.2,1.1,9.96,100596.0
中药二厂,银黄口服液,10ml×10支/盒,2026-03,10200,6.71,2.2,1.1,10.01,102102.0
中药二厂,银黄口服液,10ml×10支/盒,2026-04,10300,6.77,2.2,1.1,10.07,103721.0
中药二厂,银黄口服液,10ml×10支/盒,2026-05,10400,6.82,2.2,1.1,10.12,105248.0
中药二厂,银黄口服液,10ml×10支/盒,2026-06,10500,6.88,2.2,1.1,10.18,106890.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-01,11000,6.71,2.2,1.1,10.01,110110.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-02,11100,6.76,2.2,1.1,10.06,111666.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-03,11200,6.82,2.2,1.1,10.12,113344.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-04,11300,6.88,2.2,1.1,10.18,115034.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-05,11400,6.93,2.2,1.1,10.23,116622.0
中药二厂,板蓝根颗粒,10g×20袋/盒,2026-06,11500,6.99,2.2,1.1,10.29,118335.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-01,12000,6.82,2.2,1.1,10.12,121440.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-02,12100,6.88,2.2,1.1,10.18,123178.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-03,12200,6.93,2.2,1.1,10.23,124806.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-04,12300,6.99,2.2,1.1,10.29,126567.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-05,12400,7.04,2.2,1.1,10.34,128216.0
中药二厂,六味地黄胶囊,0.3g×60粒/盒,2026-06,12500,7.1,2.2,1.1,10.4,130000.0
