工厂,产品名称,产品规格,月份,产量(盒),直接材料(元/盒),直接人工(元/盒),制造费用(元/盒),单位成本(元/盒),总成本(元)
中药一厂,银黄口服液,10ml×10支/盒,2025-01,10000,5.82,1.94,0.97,8.73,87300.0
中药一厂,银黄口服液,10ml×10支/盒,2025-02,10100,5.87,1.94,0.97,8.78,88678.0
中药一厂,银黄口服液,10ml×10支/盒,2025-03,10200,5.92,1.94,0.97,8.83,90066.0
中药一厂,银黄口服液,10ml×10支/盒,2025-04,10300,5.97,1.94,0.97,8.88,91464.0
中药一厂,银黄口服液,10ml×10支/盒,2025-05,10400,6.01,1.94,0.97,8.92,92768.0
中药一厂,银黄口服液,10ml×10支/盒,2025-06,10500,6.06,1.94,0.97,8.97,94185.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-01,11000,5.92,1.94,0.97,8.83,97130.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-02,11100,5.97,1.94,0.97,8.88,98568.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-03,11200,6.01,1.94,0.97,8.92,99904.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-04,11300,6.06,1.94,0.97,8.97,101361.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-05,11400,6.11,1.94,0.97,9.02,102828.0
中药一厂,板蓝根颗粒,10g×20袋/盒,2025-06,11500,6.16,1.94,0.97,9.07,104305.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-01,12000,6.01,1.94,0.97,8.92,107040.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-02,12100,6.06,1.94,0.97,8.97,108537.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-03,12200,6.11,1.94,0.97,9.02,110044.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-04,12300,6.16,1.94,0.97,9.07,111561.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-05,12400,6.21,1.94,0.97,9.12,113088.0
中药一厂,六味地黄胶囊,0.3g×60粒/盒,2025-06,12500,6.26,1.94,0.97,9.17,114625.0
